browser_session_id	Referrer	LandingPage	SEARCH_TERM_FLAG	EXTERNAL_SEARCH_FLAG	INTERNAL_SEARCH_FLAG	Browser	OS	DayOfWeek	TimeofDay	TOS	NOP	Logged_in_status	ISP	QFF	CIS	SMARTPHONE	BRANDS	DEALS	PREPAID	RECHARGE	SIMCARD	NETWORK	BROADBAND	BUNDLE	HOMEPHONE	FIXEDLINE	PURCHASE_FLAG	geo_variable_region	device_details
1180628859438002-1364951541738	Google	HOME	1	0	0	Safari	Mac	2	12	36	2	0	Optus	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	New South Wales	U
1181221650913357-1364803381865	OPTUS	HOME	0	0	0	Chrome	Windows	0	19	651	7	0	TPG Internet Pty Ltd.	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	BROADBAND	OTHER	OTHER	OTHER	0	New South Wales	D
1181268552318215-1364950453455	OTHER	OTHER	0	0	0	Safari	Mac	2	11	848	5	0	Telstra Internet	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	Victoria	M
1181365261035461-1364952260047	Google	HOME	1	1	0	MSIE	Windows	2	12	12	2	0	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	PREPAID	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	New South Wales	U
1181527432054281-1364961430157	Google	OTHER	1	1	0	Safari	Mac	2	14	250	6	0	Optus	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	New South Wales	M
1181599865667522-1365236008121	OTHER	HOME	0	1	0	Safari	Mac	5	19	1965	9	0	Optus	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	BROADBAND	BUNDLE	OTHER	OTHER	0	South Australia	U
1181896438356489-1364985429080	OTHER	HOME	0	0	0	Safari	Mac	2	21	21	2	0	TPG Internet Pty Ltd.	OTHER	OTHER	OTHER	BRANDS	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	New South Wales	U
1182053849924361-1364862535635	Google	HOME	1	1	0	MSIE	Windows	1	11	73227	4	0	Telstra Internet	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	Queensland	U
1182202105424407-1364795547531	Google	OTHER	0	1	0	MSIE	Windows	0	16	157	5	0	Optus	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	Queensland	D
1182946390472352-1365194678628	OTHER	HOME	0	0	0	Safari	Mac	5	7	9260	13	1	Telstra Internet	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	BROADBAND	OTHER	OTHER	OTHER	0	Victoria	U
1183142696972936-1364904233347	Google	HOME	0	0	0	Chrome	Windows	1	23	910	15	1	TPG Internet Pty Ltd.	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	Victoria	U
1184280822053551-1364789638403	Google	PRODUCT	1	1	0	Chrome	Windows	0	15	204	5	0	Telstra Internet	OTHER	OTHER	SMARTPHONE	OTHER	OTHER	PREPAID	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	Queensland	D
1184317151271753-1364864233500	Google	PRODUCT	1	1	0	MSIE	Windows	1	11	32	2	0	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	Victoria	D
1184366333764046-1364972374431	OTHER	HOME	0	0	0	Safari	Windows	2	17	304	8	1	TPG Internet Pty Ltd.	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	New South Wales	U
1184548963792622-1364781490844	OPTUS	PRODUCT	0	0	0	Safari	Mac	0	12	152	2	0	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	PREPAID	OTHER	SIMCARD	OTHER	OTHER	OTHER	OTHER	OTHER	0	New South Wales	M
1184550128086160-1365319234401	Google	HOME	1	1	0	MSIE	Windows	6	18	35	2	0	Optus	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	NETWORK	OTHER	OTHER	OTHER	OTHER	0	Queensland	U
1185314580798149-1365034582098	Google	HOME	1	1	0	Chrome	Windows	3	11	104	6	0	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	BROADBAND	BUNDLE	OTHER	OTHER	0	New South Wales	U
1185548090413785-1365377198108	OTHER	OTHER	0	0	0	MSIE	Windows	0	10	1711	33	1	Telstra Internet	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	NETWORK	BROADBAND	OTHER	OTHER	OTHER	0	New South Wales	D
